,date,close
0,2018-01-02,5867
1,2018-01-03,5852
2,2018-01-04,5826
3,2018-01-05,5823
4,2018-01-08,5824
5,2018-01-09,5787
6,2018-01-10,5810
7,2018-01-11,5800
8,2018-01-12,5797
9,2018-01-15,5750
10,2018-01-16,5740
11,2018-01-17,5671
12,2018-01-18,5647
13,2018-01-19,5569
14,2018-01-22,5583
15,2018-01-23,5562
16,2018-01-24,5589
17,2018-01-25,5592
18,2018-01-26,5595
19,2018-01-29,5586
20,2018-01-30,5600
21,2018-01-31,5651
22,2018-02-01,5655
23,2018-02-02,5648
24,2018-02-05,5651
25,2018-02-06,5630
26,2018-02-07,5610
27,2018-02-08,5625
28,2018-02-09,5603
29,2018-02-12,5653
30,2018-02-13,5655
31,2018-02-14,5627
32,2018-02-22,5616
33,2018-02-23,5653
34,2018-02-26,5650
35,2018-02-27,5648
36,2018-02-28,5623
37,2018-03-01,5627
38,2018-03-02,5663
39,2018-03-05,5637
40,2018-03-06,5615
41,2018-03-07,5633
42,2018-03-08,5641
43,2018-03-09,5602
44,2018-03-12,5630
45,2018-03-13,5650
46,2018-03-14,5625
47,2018-03-15,5630
48,2018-03-16,5642
49,2018-03-19,5633
50,2018-03-20,5615
51,2018-03-21,5611
52,2018-03-22,5615
53,2018-03-23,5606
54,2018-03-26,5570
55,2018-03-27,5573
56,2018-03-28,5530
57,2018-03-29,5487
58,2018-03-30,5515
59,2018-04-02,5508
60,2018-04-03,5492
61,2018-04-04,5496
62,2018-04-09,5505
63,2018-04-10,5501
64,2018-04-11,5494
65,2018-04-12,5458
66,2018-04-13,5466
67,2018-04-16,5420
68,2018-04-17,5383
69,2018-04-18,5390
70,2018-04-19,5445
71,2018-04-20,5466
72,2018-04-23,5452
73,2018-04-24,5426
74,2018-04-25,5494
75,2018-04-26,5487
76,2018-04-27,5441
77,2018-05-02,5451
78,2018-05-03,5440
79,2018-05-04,5424
80,2018-05-07,5434
81,2018-05-08,5449
82,2018-05-09,5460
83,2018-05-10,5464
84,2018-05-11,5484
85,2018-05-14,5520
86,2018-05-15,5496
87,2018-05-16,5509
88,2018-05-17,5544
89,2018-05-18,5555
90,2018-05-21,5555
91,2018-05-22,5560
92,2018-05-23,5540
93,2018-05-24,5566
94,2018-05-25,5562
95,2018-05-28,5508
96,2018-05-29,5533
97,2018-05-30,5546
98,2018-05-31,5521
99,2018-06-01,5558
100,2018-06-04,5552
101,2018-06-05,5526
102,2018-06-06,5461
103,2018-06-07,5466
104,2018-06-08,5339
105,2018-06-11,5366
106,2018-06-12,5377
107,2018-06-13,5331
108,2018-06-14,5348
109,2018-06-15,5352
110,2018-06-19,5209
111,2018-06-20,5243
112,2018-06-21,5246
113,2018-06-22,5250
114,2018-06-25,5273
115,2018-06-26,5271
116,2018-06-27,5264
117,2018-06-28,5210
118,2018-06-29,5210
119,2018-07-02,5124
120,2018-07-03,5085
121,2018-07-04,5027
122,2018-07-05,4959
123,2018-07-06,5003
124,2018-07-09,4974
125,2018-07-10,4963
126,2018-07-11,4897
127,2018-07-12,4901
128,2018-07-13,4975
129,2018-07-16,4949
130,2018-07-17,5078
131,2018-07-18,5083
132,2018-07-19,5072
133,2018-07-20,4955
134,2018-07-23,4952
135,2018-07-24,4977
136,2018-07-25,5050
137,2018-07-26,5065
138,2018-07-27,5108
139,2018-07-30,5157
140,2018-07-31,5120
141,2018-08-01,5043
142,2018-08-02,5019
143,2018-08-03,5100
144,2018-08-06,5164
145,2018-08-07,5138
146,2018-08-08,5160
147,2018-08-09,5147
148,2018-08-10,5130
149,2018-08-13,5153
150,2018-08-14,5061
151,2018-08-15,4959
152,2018-08-16,4972
153,2018-08-17,4916
154,2018-08-20,4990
155,2018-08-21,4997
156,2018-08-22,5003
157,2018-08-23,5002
158,2018-08-24,5090
159,2018-08-27,5101
160,2018-08-28,5056
161,2018-08-29,4990
162,2018-08-30,4998
163,2018-08-31,5003
